ID,HowRare.is,MoonRank
1302,2186,1671
1303,5223,5464
1304,5042,4397
1305,7493,7683
1306,5131,5368
1307,8952,9038
1308,3115,2365
1309,2616,2093
1310,2791,2241
1311,2441,1781
1312,8362,8887
1313,,10016
1314,7891,8672
1315,2296,1726
1316,926,976
1317,1755,1355
1318,5584,4698
1319,38,807
1320,652,293
1321,4578,4294
1322,6266,6925
1323,6948,7169
1324,1502,1024
1325,8758,9100
1326,29,6
1327,9709,9338
1328,2346,2200
1329,5208,4237
1330,5177,4319
1331,980,570
1332,4877,4244
1333,2568,1998
1334,6967,7088
1335,5358,4680
1336,1843,1303
1337,1824,1936
1338,7507,7129
1339,2454,1864
1340,9265,8601
1341,2232,1803
1342,5067,6888
1343,3441,2706
1344,4356,3690
1345,3775,2938
1346,6499,5659
1347,317,105
1348,4063,4924
1349,1820,5207
1350,2811,2588
1351,3589,3379
1352,3202,2782
1353,7806,7648
1354,895,607
1355,7779,6766
1356,2020,2216
1357,4004,3427
1358,9201,9397
1359,5422,4651
1360,8208,7485
1361,2572,3275
1362,2816,4870
1363,856,929
1364,4728,6060
1365,119,3374
1366,2446,1907
1367,3262,2650
1368,7527,8241
1369,3358,2487
1370,5943,5130
1371,8286,7930
1372,1598,1169
1373,2765,2565
1374,439,231
1375,4995,5488
1376,3351,3299
1377,9049,8724
1378,6371,5357
1379,526,334
1380,2124,1606
1381,7459,6852
1382,7731,8058
1383,5377,5989
1384,4758,4858
1385,5907,5115
1386,7721,8565
1387,2864,3830
1388,1045,1086
1389,5710,4959
1390,2043,1647
1391,1775,3994
1392,4755,3976
1393,9223,9254
1394,1444,1026
1395,3284,2807
1396,1618,2126
1397,694,661
1398,7031,8296
1399,9918,9700
1400,8316,7775
1401,360,529
1402,7395,7943
1403,1208,1200
1404,64,20
1405,558,467
1406,4729,3942
1407,216,100
1408,2645,2289
1409,1725,1288
1410,2366,3019
1411,7314,6419
1412,4344,3617
1413,110,70
1414,9788,9478
1415,8166,7618
1416,1460,1350
1417,5959,5808
1418,4100,4498
1419,4052,3441
1420,1638,1343
1421,4955,4119
1422,3471,4806
1423,9366,8998
1424,2614,2276
1425,5499,5075
1426,9883,9788
1427,2565,1999
1428,534,138
1429,9133,9357
1430,4448,3996
1431,8289,7933
1432,2926,2185
1433,8917,9318
1434,7683,8488
1435,9749,9267
1436,9090,9403
1437,6239,6696
1438,2868,2024
1439,6527,6520
1440,4544,3883
1441,7275,7588
1442,1691,1652
1443,8756,9421
1444,1888,1516
1445,111,1691
1446,568,187
1447,4801,5769
1448,4706,3762
1449,198,66
1450,203,232
1451,3346,2497
1452,3068,2801
1453,8675,8682
1454,5748,4874
1455,5027,4429
1456,4757,3966
1457,4002,3422
1458,8014,7092
1459,9524,9859
1460,1670,1902
1461,9908,9768
1462,7298,6750
1463,3813,3557
1464,1855,1591
1465,7871,7111
1466,9721,9384
1467,429,196
1468,20,1535
1469,1941,1432
1470,2697,2037
1471,5281,4582
1472,7753,7287
1473,1399,940
1474,290,469
1475,9534,9825
1476,7542,8253
1477,49,562
1478,1962,1886
1479,7303,6512
1480,8254,7706
1481,2613,2269
1482,6064,5699
1483,4440,3594
1484,384,1091
1485,1863,2266
1486,8872,9300
1487,4003,3423
1488,6128,5423
1489,355,450
1490,1877,1416
1491,2357,2016
1492,9582,8982
1493,5509,5618
1494,3990,3174
1495,6814,5728
1496,8305,7899
1497,5282,4578
1498,7741,7288
1499,6538,6247
1500,1661,1276
1501,9119,9617
1502,3030,2168
1503,1122,678
1504,7214,6732
1505,916,468
1506,4455,4001
1507,7907,6873
1508,1568,1163
1509,1884,1517
1510,7538,8128
1511,7101,7996
1512,3995,5516
1513,3639,3154
1514,3193,2573
1515,4721,3767
1516,4056,3564
1517,1756,1362
1518,7763,6771
1519,1419,1541
1520,691,476
1521,1331,1000
1522,3948,3365
1523,9530,9823
1524,1288,831
1525,8889,8995
1526,2249,1735
1527,1362,1044
1528,1059,1154
1529,3584,2930
1530,2117,1618
1531,5410,4742
1532,3740,4222
1533,9020,9309
1534,3120,2464
1535,165,178
1536,1769,1206
1537,1300,982
1538,808,3064
1539,3265,2651
1540,2436,1782
1541,5758,4878
1542,8120,7206
1543,1052,603
1544,1497,2296
1545,5402,4665
1546,7825,7014
1547,4049,4472
1548,1980,1595
1549,527,1501
1550,2839,2495
1551,7579,6971
1552,2757,3213
1553,4152,3967
1554,51,15
1555,915,473
1556,7749,7289
1557,6688,5591
1558,3392,2642
1559,8865,9294
1560,5478,6048
1561,7199,6768
1562,6139,5956
1563,7791,8740
1564,1996,4305
1565,3451,2967
1566,3433,2696
1567,5904,5113
1568,1449,1079
1569,7255,8103
1570,4742,4074
1571,547,165
1572,4378,5861
1573,9364,8994
1574,4888,4246
1575,62,21
1576,4974,4153
1577,881,402
1578,6124,5418
1579,2660,2374
1580,1293,987
1581,13,494
1582,9417,9780
1583,4788,4027
1584,3514,4347
1585,7458,6556
1586,5404,4465
1587,5270,7004
1588,3771,2949
1589,8366,8300
1590,8399,7966
1591,4893,4194
1592,4251,4833
1593,6615,6027
1594,2447,1908
1595,9131,8918
1596,3187,4456
1597,4541,5411
1598,9825,9927
1599,9097,9401
1600,3215,2415
1601,9392,9628
1602,6060,6447
1603,8999,9071
1604,4295,3677
1605,,10013
1606,4208,3723
1607,3874,3265
1608,7985,7743
1609,4814,3957
1610,7785,8237
1611,9981,9977
1612,5112,4363
1613,258,176
1614,5342,4416
1615,1970,2306
1616,584,213
1617,5877,6822
1618,391,171
1619,1238,788
1620,332,123
1621,492,864
1622,4754,3977
1623,4787,5367
1624,4034,3221
1625,7975,7747
1626,2353,2780
1627,6249,7374
1628,81,1921
1629,7315,6420
1630,1284,849
1631,2478,1858
1632,1804,1398
1633,5854,6489
1634,1290,1536
1635,8238,7439
1636,7249,6506
1637,6806,6119
1638,183,4160
1639,6610,6101
1640,4072,3491
1641,3490,2924
