ID,HowRare.is,MoonRank
1177,9762,9873
1178,9931,9917
1179,6640,3915
1180,4171,3613
1181,6651,9003
1182,5238,7141
1183,3973,1424
1184,5295,5376
1185,6355,5712
1186,7980,8102
1187,4017,5273
1188,6170,8383
1189,6335,6230
1190,7389,5118
1191,7342,8156
1192,6743,7496
1193,4797,2353
1194,6231,4612
1195,6783,5616
1196,5394,8906
1197,2942,3407
1198,3253,6751
1199,7020,7639
1200,6210,7687
1201,8679,7569
1202,1406,96
1203,3647,5722
1204,9730,9688
1205,6985,9078
1206,9162,9176
1207,3992,2653
1208,8649,8271
1209,2707,733
1210,8688,8322
1211,5935,4205
1212,4116,4369
1213,6749,6410
1214,5134,7814
1215,7745,7184
1216,440,2441
1217,1969,3716
1218,2314,1063
1219,7769,7564
1220,1117,1149
1221,7554,6913
1222,2028,1603
1223,6366,8671
1224,6307,4131
1225,6364,7416
1226,9926,9936
1227,3755,1441
1228,7416,4798
1229,5776,5577
1230,8943,8999
1231,5177,2648
1232,251,2189
1233,4229,6715
1234,1829,1192
1235,2434,3929
1236,7405,8172
1237,460,6173
1238,295,150
1239,8692,7043
1240,2770,3683
1241,8275,5475
1242,5224,6104
1243,6758,6504
1244,1160,4069
1245,8139,7226
1246,887,1469
1247,4231,5913
1248,817,4923
1249,4783,3902
1250,2588,4052
1251,5472,5607
1252,8617,9584
1253,9068,7638
1254,8143,7193
1255,8725,8463
1256,2904,5176
1257,277,384
1258,7255,5481
1259,125,1903
1260,7595,7441
1261,1894,2972
1262,1020,467
1263,3577,3609
1264,7247,7756
1265,5186,5527
1266,5934,382
1267,2981,6648
1268,8579,9576
1269,3234,4090
1270,5551,2851
1271,4509,1244
1272,7819,8581
1273,831,1320
1274,7248,6177
1275,8551,8196
1276,5580,4667
1277,7371,4761
1278,3364,4308
1279,3475,5372
1280,1805,2217
1281,1809,2640
1282,153,72
1283,6727,6183
1284,3660,4391
1285,3720,5723
1286,7982,7758
1287,6227,8403
1288,2429,3790
1289,1517,6145
1290,4967,5310
1291,5292,5067
1292,9009,8535
1293,9798,9894
1294,6980,6979
1295,3844,6237
1296,7638,6846
1297,4785,2373
1298,6861,7737
1299,7378,7128
1300,701,870
1301,8895,8810
1302,7825,8299
1303,5329,5101
1304,6221,5533
1305,8621,9598
1306,1263,5794
1307,8155,7500
1308,3200,1589
1309,2943,3625
1310,8235,6412
1311,5944,5321
1312,3012,1636
1313,1182,81
1314,92,50
1315,3825,4393
1316,7696,6693
1317,7828,6516
1318,5430,5776
1319,4558,4985
1320,6295,4058
1321,3279,3503
1322,9398,9260
1323,7623,7019
1324,5689,5342
1325,7529,8349
1326,365,1920
1327,830,133
1328,2532,423
1329,3923,835
1330,2187,4610
1331,5620,6629
1332,4323,3281
1333,9137,8843
1334,8125,2306
1335,5812,4057
1336,95,56
1337,4683,5352
1338,2768,4621
1339,5149,6496
1340,8927,9780
1341,721,122
1342,9718,9781
1343,3026,3501
1344,586,2877
1345,2908,2178
1346,5999,5212
1347,756,197
1348,6396,4044
1349,5057,4286
1350,973,772
1351,5499,6685
1352,7447,5034
1353,8273,8170
1354,3531,3028
1355,6722,6589
1356,6275,6196
1357,3975,4354
1358,4951,2342
1359,2164,2110
1360,7905,8380
1361,7327,9174
1362,812,1079
1363,8403,7259
1364,3549,5634
1365,2909,2696
1366,818,149
1367,3459,4543
1368,8287,9121
1369,8158,7026
1370,5288,5929
1371,7516,6087
1372,4019,3699
1373,9810,9677
1374,9934,9924
1375,7762,8017
1376,6277,6052
1377,6967,7024
1378,7579,5952
1379,5157,5229
1380,856,1221
1381,6972,7837
1382,9920,9923
1383,9704,9386
1384,6092,6910
1385,8050,6073
1386,7570,9603
1387,5780,6552
1388,5103,7339
1389,3773,3560
1390,1172,367
1391,9923,9931
1392,5831,5137
1393,6265,6180
1394,4900,3959
1395,8121,8019
1396,8654,8242
1397,5983,5453
1398,8903,7528
1399,2102,2930
1400,4224,4790
1401,8071,6497
1402,2881,2010
1403,775,3848
1404,4634,3908
1405,5746,5422
1406,2066,1863
1407,5661,4654
1408,8920,9227
1409,9678,9762
1410,8887,8107
1411,4773,6208
1412,5995,3972
1413,6990,4870
1414,4532,4288
1415,3411,7832
1416,9309,8202
1417,6764,7414
1418,8966,7951
1419,7089,6503
1420,5868,5889
1421,9662,9720
1422,8825,7903
1423,361,2231
1424,3743,2304
1425,3598,3511
1426,2328,3304
1427,1390,1647
1428,8643,7751
1429,8357,6381
1430,5591,6985
1431,8393,8966
1432,1760,1916
1433,3592,7807
1434,2937,1698
1435,4364,4750
1436,8098,9030
1437,5087,3523
1438,6488,8428
1439,3437,944
1440,8010,5705
1441,7878,7523
1442,2774,3635
1443,8714,8164
1444,8511,7679
1445,6982,6124
1446,4528,6382
1447,9699,9404
1448,7060,6013
1449,8847,8081
1450,4442,498
1451,4526,5745
1452,9632,9663
1453,8815,8523
1454,4468,2699
1455,9450,9637
1456,691,234
1457,4028,3350
1458,4540,4477
1459,4482,4508
1460,754,3133
1461,9059,9753
1462,7036,5834
1463,9285,8369
1464,2570,4588
1465,5590,4987
1466,7534,8692
1467,7688,6279
1468,4429,5703
1469,7353,4944
1470,9936,9929
1471,2082,507
1472,4369,2355
1473,2266,7402
1474,5634,5394
1475,4830,5528
1476,4956,6659
1477,6168,6664
1478,5406,5535
1479,7714,7503
1480,5506,2381
1481,1718,569
1482,9997,9996
1483,9027,9248
1484,7690,7273
1485,5209,3421
1486,1229,4163
1487,8267,7016
1488,9774,9472
1489,2459,1941
1490,7013,7973
1491,7135,7703
1492,7001,6129
1493,1389,272
1494,513,342
1495,6832,7701
1496,6682,7691
1497,306,330
1498,528,2496
1499,8707,8495
1500,7720,6711
1501,3909,2274
1502,2994,2668
1503,948,5039
1504,1091,5920
1505,1520,334
1506,2748,7495
1507,8701,9031
1508,1015,2228
1509,3838,4677
1510,8778,9076
1511,718,58
1512,6428,4931
1513,5989,7202
1514,7764,7374
1515,7195,5112
1516,1828,2715
1517,510,926
1518,4875,4710
1519,5275,5734
1520,885,5684
1521,9756,9805
1522,4580,6249
1523,2877,2148
1524,7530,6864
1525,9899,9841
1526,4363,3873
1527,4757,1812
1528,8489,8647
1529,2303,746
1530,6370,4808
1531,1511,1547
1532,5047,4895
1533,6693,6609
1534,6848,4552
1535,2558,3842
1536,9469,9146
1537,4202,4840
1538,4750,4757
1539,5122,3050
1540,69,2077
1541,4076,2885
1542,9846,9534
1543,7862,8622
1544,6476,5114
1545,142,812
1546,9023,9847
1547,4313,5957
1548,2933,5170
1549,869,6159
1550,578,2821
1551,8438,7232
1552,6872,6023
1553,7649,6107
1554,3841,3032
1555,2175,3845
1556,8565,9401
1557,1519,2904
1558,1651,3549
1559,411,3486
1560,6308,6067
